CÓDIGO OACI,TIPO,NOME,MUNICÍPIO ATENDIDO,UF,LATITUDE,LONGITUDE,ALTITUDE,OPERAÇÃO,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,DESIGNAÇÃO,COMPRIMENTO,LARGURA,RESISTÊNCIA,SUPERFÍCIE,RAMPA(S) DE APROXIMAÇÃO,FORMATO DA ÁREA DE POUSO,DIMENSÕES,RESISTÊNCIA,SUPERFÍCIE,p1,p2,p3,p4,PORTARIAS,,,,Portaria Nº 291/2016 ,Portaria Nº 2007/2014 e alterações ,OBSERVAÇÃO
SDAE,AERÓDROMO,SÃO PEDRO,SÃO PEDRO,SP,22° 35' 1'' S,47° 53' 46'' W,566 m,VFR Diurno,13/31,1000 m,25 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0097,0,0,0,PD1996-0097,,,,AD,-,-
SDAG,AERÓDROMO,ANGRA DOS REIS,ANGRA DOS REIS,RJ,22° 58' 31'' S,44° 18' 26'' W,3 m,VFR Diurno,10/28,950 m,30 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1979-0134,0,0,0,PD1979-0134,,,,AP-0,4ª,-
SDAI,AERÓDROMO,AMERICANA,AMERICANA,SP,22° 45' 19'' S,47° 16' 5'' W,635 m,VFR Diurno,11/29,1100 m,18 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2002-1037,0,0,0,PD2002-1037,,,,AD,-,-
SDAM,AERÓDROMO,AERODRÓMO ESTADUAL DE CAMPINAS / AMARAIS,CAMPINAS,SP,22° 51' 33'' S,47° 6' 29'' W,612 m,VFR Diurno/Noturno,16/34,1200 m,30 m,PCN 25/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2002,0,0,0,PA2010-2002,,,,AP-0,4ª,-
SDBA,AERÓDROMO,BATATAIS,BATATAIS,SP,20° 52' 38'' S,47° 35' 8'' W,881 m,VFR Diurno,12/30,995 m,30 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2360,0,0,0,PA2010-2360,,,,AD,-,-
SDBB,AERÓDROMO,BEBEDOURO,BEBEDOURO,SP,20° 54' 1'' S,48° 28' 25'' W,592 m,VFR Diurno,13/31,1500 m,23 m,PCN 15/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0924,0,0,0,PA2014-0924,,,,AD,-,-
SDBK,AERÓDROMO,TANCREDO DE ALMEIDA NEVES,BOTUCATU,SP,22° 56' 12'' S,48° 28' 3'' W,918 m,VFR Diurno/Noturno,1/19,1500 m,30 m,PCN 40/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2012-2536,0,0,0,PA2012-2536,,,,AP-0,4ª,-
SDBY,AERÓDROMO,APARECIDO O. SILVA,BARIRI,SP,22° 4' 7'' S,48° 42' 21'' W,486 m,VFR Diurno,11/29,1400 m,30 m,"5800 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0148,0,0,0,PD1995-0148,,,,AD,-,-
SDCA,AERÓDROMO,CAPÃO BONITO,CAPÃO BONITO,SP,24° 1' 57'' S,48° 21' 30'' W,732 m,VFR Diurno,16/34,1075 m,20 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1991-0090,PD1991-0102,0,0,PD1991-0090,PD1991-0102,,,AD,-,-
SDCG,AERÓDROMO,SENADORA EUNICE MICHILES,SÃO PAULO DE OLIVENÇA,AM,3° 28' 10'' S,68° 57' 30'' W,102 m,VFR Diurno,4/22,1200 m,23 m,PCN 6/R/B/Y/T,Concreto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0793,0,0,0,PD2001-0793,,,,AD,-,-
SDCO,AERÓDROMO,SOROCABA,SOROCABA,SP,23° 28' 59'' S,47° 29' 11'' W,633 m,VFR Diurno/Noturno,18/36,1480 m,30 m,PCN 36/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2006-0287,0,0,0,PD2006-0287,,,,AP-0,3ª,-
SDDN,AERÓDROMO,PAULINO RIBEIRO DE ANDRADE,ANDRADINA,SP,20° 55' 33'' S,51° 23' 2'' W,380 m,VFR Diurno/Noturno,11/29,1500 m,30 m,PCN 12/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-3120,0,0,0,PA2015-3120,,,,AP-0,4ª,-
SDDR,AERÓDROMO,DRACENA,DRACENA,SP,21° 27' 38'' S,51° 36' 25'' W,372 m,VFR Diurno/Noturno,9/27,1500 m,30 m,PCN 14/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0904,0,0,0,PA2014-0904,,,,AP-0,4ª,-
SDEP,AERÓDROMO,GERALDO MOACIR BORDON,PRESIDENTE EPITÁCIO,SP,21° 46' 32'' S,52° 9' 47'' W,297 m,VFR Diurno,5/23,1010 m,18 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1994-0545,0,0,0,PD1994-0545,,,,AD,-,-
SDET,AERÓDROMO,TIETÊ,TIETÊ,SP,23° 6' 17'' S,47° 43' 28'' W,501 m,VFR Diurno,1/19,850 m,30 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1992-0120,0,0,0,PD1992-0120,,,,AD,-,-
SDFD,AERÓDROMO,CORONEL AVIADOR CARLOS ORLEANS GUIMARÃES,FERNANDÓPOLIS,SP,20° 16' 36'' S,50° 12' 50'' W,500 m,VFR Diurno,8/26,1000 m,25 m,PCN 16/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1974-0192,0,0,0,PD1974-0192,,,,AD,-,-
SDFX,AERÓDROMO,CASA NOVA,CASA NOVA,BA,9° 9' 27'' S,40° 56' 15'' W,405 m,VFR Diurno,12/30,1100 m,20 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0532,0,0,0,PA2016-0532,,,,AD,-,-
SDGC,AERÓDROMO,GARÇA,GARÇA,SP,22° 11' 1'' S,49° 39' 22'' W,665 m,VFR Diurno,1/19,1000 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1973-0125,0,0,0,PD1973-0125,,,,AD,-,-
SDGR,AERÓDROMO,GUARARAPES,GUARARAPES,SP,21° 15' 47'' S,50° 39' 11'' W,400 m,VFR Diurno,1/19,630 m,20 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1994-0629,0,0,0,PD1994-0629,,,,AD,-,-
SDIG,AERÓDROMO,IBITINGA,IBITINGA,SP,21° 44' 50'' S,48° 51' 21'' W,542 m,VFR Diurno,13/31,1200 m,45 m,"5600 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0122,PD1996-0241,0,0,PD1996-0122,PD1996-0241,,,AD,-,-
SDIM,AERÓDROMO,ITANHAÉM,ITANHAÉM,SP,24° 9' 53'' S,46° 47' 8'' W,4 m,VFR Diurno/Noturno,15/33,1350 m,30 m,PCN 31/F/C/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2010-2331,0,0,0,PA2010-2331,,,,AP-0,4ª,-
SDIV,AERÓDROMO,ITUVERAVA,ITUVERAVA,SP,20° 22' 31'' S,47° 46' 7'' W,623 m,VFR Diurno,17/35,1000 m,30 m,"5200 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SDJC,AERÓDROMO,JABOTICABAL,JABOTICABAL,SP,21° 13' 48'' S,48° 17' 5'' W,616 m,VFR Diurno,6/24,960 m,23 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1997-0167,0,0,0,PD1997-0167,,,,AD,-,-
SDJL,AERÓDROMO,JALES,JALES,SP,20° 17' 28'' S,50° 32' 40'' W,456 m,VFR Diurno,1/19,1060 m,19 m,PCN 10/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0627,0,0,0,PD1999-0627,,,,AD,-,-
SDJO,AERÓDROMO,SÃO JOAQUIM DA BARRA,SÃO JOAQUIM DA BARRA,SP,20° 35' 36'' S,47° 50' 32'' W,651 m,VFR Diurno,14/32,1000 m,30 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1992-0338,0,0,0,PD1992-0338,,,,AD,-,-
SDJV,AERÓDROMO,MUNICIPAL DE SÃO JOÃO DA BOA VISTA,SÃO JOÃO DA BOA VISTA,SP,22° 1' 2'' S,46° 50' 27'' W,762 m,VFR Diurno/Noturno,4/22,1250 m,30 m,PCN 20/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-2697,0,0,0,PA2013-2697,,,,AD,-,-
SDKE,AERÓDROMO,CORIBE,CORIBE,BA,13° 46' 38'' S,44° 27' 52'' W,670 m,VFR Diurno,10/28,1130 m,15 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0613,0,0,0,PD2001-0613,,,,AD,-,-
SDKF,AERÓDROMO,JUAZEIRO,CURAÇÁ,BA,9° 9' 19'' S,40° 5' 30'' W,392 m,VFR Diurno,18/36,1300 m,22 m,PCN 12/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0614,0,0,0,PD2001-0614,,,,AD,-,-
SDKJ,AERÓDROMO,FORMOSA DO RIO PRETO,FORMOSA DO RIO PRETO,BA,11° 1' 16'' S,45° 11' 14'' W,511 m,VFR Diurno,13/31,1320 m,"18,5 m",PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0616,0,0,0,PD2001-0616,,,,AD,-,-
SDKK,AERÓDROMO,MOCOCA,MOCOCA,SP,21° 29' 14'' S,47° 2' 2'' W,651 m,VFR Diurno,4/22,1000 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-2824,0,0,0,PA2013-2824,,,,AD,-,-
SDLC,AERÓDROMO,LUCÉLIA,LUCÉLIA,SP,21° 44' 58'' S,51° 1' 6'' W,450 m,VFR Diurno,8/26,1200 m,40 m,PCN 10/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0496E,0,0,0,PD1998-0496E,,,,AD,-,-
SDLE,AERÓDROMO,RIO DE CONTAS,RIO DE CONTAS,BA,13° 34' 59'' S,41° 47' 27'' W,1146 m,VFR Diurno,15/33,1200 m,41 m,"5700 kg / 0,5 MPa",Piçarra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1387,0,0,0,PA2014-1387,,,,AD,-,-
SDLG,AERÓDROMO,SALVIANO INÁCIO ROCHA,OUROLÂNDIA,BA,10° 58' 20'' S,41° 4' 7'' W,571 m,VFR Diurno,12/30,1000 m,15 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0577,0,0,0,PA2016-0577,,,,AD,-,-
SDLH,AERÓDROMO,CALDAS DO JORRO,TUCANO,BA,11° 2' 39'' S,38° 47' 3'' W,212 m,VFR Diurno,13/31,1100 m,25 m,PCN 8/F/B/Y/U,Cascalho,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0621,0,0,0,PD2001-0621,,,,AD,-,-
SDLI,AERÓDROMO,JEOVÁ GOMES CORRÊA,ABARÉ,BA,8° 44' 19'' S,39° 7' 33'' W,291 m,VFR Diurno,12/30,1200 m,20 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0608,0,0,0,PD2001-0608,,,,AD,-,-
SDLK,AERÓDROMO,CACULÉ,CACULÉ,BA,14° 28' 52'' S,42° 15' 53'' W,662 m,VFR Diurno,13/31,1200 m,20 m,PCN 8/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2016-0240,0,0,0,PA2016-0240,,,,AD,-,-
SDLL,AERÓDROMO,LEME,LEME,SP,22° 13' 37'' S,47° 22' 56'' W,617 m,VFR Diurno,8/26,1100 m,30 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1996-0516,0,0,0,PD1996-0516,,,,AD,-,-
SDLP,AERÓDROMO,LENÇÓIS PAULISTA,LENÇÓIS PAULISTA,SP,22° 34' 38'' S,48° 46' 31'' W,621 m,VFR Diurno/Noturno,8/26,1260 m,20 m,PCN 13/F/C/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0404E,0,0,0,PD1998-0404E,,,,AD,-,-
SDLY,AERÓDROMO,ARMANDO NATALI,MATÃO,SP,21° 37' 23'' S,48° 21' 9'' W,635 m,VFR Diurno,16/34,750 m,23 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0470,0,0,0,PD1993-0470,,,,AD,-,-
SDMC,AERÓDROMO,MARICÁ,MARICÁ,RJ,22° 55' 5'' S,42° 49' 44'' W,4 m,VFR Diurno,8/26,1190 m,30 m,PCN 13/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1991-0223,PD1992-0400,0,0,PD1991-0223,PD1992-0400,,,AD,-,-
SDMH,AERÓDROMO,MIRASSOL,MIRASSOL,SP,20° 48' 26'' S,49° 29' 10'' W,584 m,VFR Diurno,6/24,1000 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1992-0074,PA2014-0905,PA2014-3150,0,PD1992-0074,PA2014-0905,PA2014-3150,,AD,-,-
SDMJ,AERÓDROMO,MOJI MIRIM,MOJI MIRIM,SP,22° 24' 36'' S,46° 54' 17'' W,693 m,VFR Diurno,12/30,1500 m,30 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0484,0,0,0,PD1995-0484,,,,AD,-,-
SDMO,AERÓDROMO,MONTE ALTO,MONTE ALTO,SP,21° 15' 41'' S,48° 31' 47'' W,750 m,VFR Diurno,17/35,850 m,20 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0027,0,0,0,PD1995-0027,,,,AD,-,-
SDNH,AERÓDROMO,NOVO HORIZONTE,NOVO HORIZONTE,SP,21° 29' 52'' S,49° 14' 4'' W,465 m,VFR Diurno,13/31,1000 m,30 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1970-0065,0,0,0,PD1970-0065,,,,AD,-,-
SDNO,AERÓDROMO,NELSON GARÓFALO,SÃO MANUEL,SP,22° 41' 46'' S,48° 34' 34'' W,730 m,VFR Diurno/Noturno,14/32,1000 m,20 m,PCN 13/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1970-0141,PA2015-1670,0,0,PD1970-0141,PA2015-1670,,,AP-0,4ª,-
SDNY,AERÓDROMO,AEROCLUBE DE NOVA IGUAÇU,NOVA IGUAÇU,RJ,22° 44' 48'' S,43° 27' 53'' W,50 m,VFR Diurno,11/29,1200 m,30 m,"5700 kg / 0,62 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AD,-,-
SDOU,AERÓDROMO,OURINHOS,OURINHOS,SP,22° 58' 25'' S,49° 54' 41'' W,467 m,VFR Diurno/Noturno,16/34,1500 m,30 m,PCN 15/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2013-1039,0,0,0,PA2013-1039,,,,AP-0,4ª,-
SDOV,AERÓDROMO,MOZARLÂNDIA,MOZARLÂNDIA,GO,14° 44' 41'' S,50° 34' 14'' W,328 m,VFR Diurno,17/35,1500 m,30 m,PCN 20/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0870,0,0,0,PD2001-0870,,,,AD,-,-
SDOW,AERÓDROMO,OURILÂNDIA DO NORTE,OURILÂNDIA DO NORTE,PA,6° 45' 44'' S,51° 3' 0'' W,229 m,VFR Diurno/Noturno,14/32,1200 m,30 m,PCN 11/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-0909,0,0,0,PA2015-0909,,,,AD,-,-
SDPD,AERÓDROMO,PINDAMONHANGABA,PINDAMONHANGABA,SP,22° 56' 37'' S,45° 25' 53'' W,585 m,VFR Diurno,6/24,750 m,30 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1953-0021,0,0,0,PD1953-0021,,,,AD,-,-
SDPN,AERÓDROMO,PENÁPOLIS,PENÁPOLIS,SP,21° 24' 37'' S,50° 1' 55'' W,418 m,VFR Diurno/Noturno,15/33,1500 m,30 m,PCN 27/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-0233,0,0,0,PA2014-0233,,,,AP-0,4ª,-
SDPV,AERÓDROMO,PRESIDENTE VENCESLAU,PRESIDENTE VENCESLAU,SP,21° 53' 36'' S,51° 53' 4'' W,445 m,VFR Diurno,14/32,1200 m,30 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1991-0133,0,0,0,PD1991-0133,,,,AD,-,-
SDPW,AERÓDROMO,PEDRO MORGANTI,PIRACICABA,SP,22° 42' 38'' S,47° 37' 10'' W,575 m,VFR Diurno/Noturno,17/35,1200 m,30 m,"4000 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AP-0,4ª,-
SDPY,AERÓDROMO,PIRASSUNUNGA,PIRASSUNUNGA,SP,22° 1' 35'' S,47° 25' 10'' W,683 m,VFR Diurno,3/21,860 m,30 m,PCN 8/F/C/Y/U,Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1953-0021,0,0,0,PD1953-0021,,,,AD,-,-
SDRK,AERÓDROMO,RIO CLARO,RIO CLARO,SP,22° 25' 50'' S,47° 33' 49'' W,607 m,VFR Diurno,3/21,1100 m,40 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,4  -,quadrado,21 m x21 m,"4,5 t",Grama,PD1998-0379E,0,0,0,PD1998-0379E,,,,AD,-,-
SDRR,AERÓDROMO,AVARÉ-ARANDU,AVARÉ,SP,23° 5' 35'' S,48° 59' 3'' W,810 m,VFR Diurno/Noturno,15/33,1480 m,30 m,PCN 26/F/A/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1993-0288,PD1994-0024,PA2015-2649,0,PD1993-0288,PD1994-0024,PA2015-2649,,AP-0,4ª,-
SDRS,AERÓDROMO,RESENDE,RESENDE,RJ,22° 28' 43'' S,44° 28' 54'' W,402 m,VFR Diurno,8/26,1300 m,30 m,PCN 13/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AP-0,4ª,-
SDSC,AERÓDROMO,MÁRIO PEREIRA LOPES,SÃO CARLOS,SP,21° 52' 35'' S,47° 54' 12'' W,807 m,VFR Diurno,2/20,1460 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0450E,PD1998-0451E,0,0,PD1998-0450E,PD1998-0451E,,,AP-0,3ª,-
SBSO,AERÓDROMO,REGIONAL DE SORRISO ADOLINO BEDIN,SORRISO,MT,12° 28' 22'' S,55° 40' 8'' W,386 m,VFR Diurno/Noturno,5/23,1700 m,30 m,PCN 26/F/A/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2099,0,0,0,PA2015-2099,,,,AD,-,-
SDTB,AERÓDROMO,ATIBAIA,ATIBAIA,SP,23° 7' 42'' S,46° 34' 29'' W,797 m,VFR Diurno,2/20,800 m,30 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2014-1106,0,0,0,PA2014-1106,,,,AD,-,-
SDTF,AERÓDROMO,TATUÍ,TATUÍ,SP,23° 19' 55'' S,47° 52' 48'' W,635 m,VFR Diurno,14/32,1100 m,30 m,"5000 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1999-0436,0,0,0,PD1999-0436,,,,AD,-,-
SDTI,AERÓDROMO,TUPI PAULISTA,TUPI PAULISTA,SP,21° 23' 35'' S,51° 35' 56'' W,365 m,VFR Diurno,5/23,750 m,23 m,"5600 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1995-0115,0,0,0,PD1995-0115,,,,AD,-,-
SDTK,AERÓDROMO,PARATI,PARATI,RJ,23° 13' 28'' S,44° 43' 13'' W,3 m,VFR Diurno,10/28,700 m,23 m,"2500 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0051,0,0,0,PD1998-0051,,,,AD,-,-
SDTP,AERÓDROMO,JOSÉ VICENTE FARIA LIMA,TUPÃ,SP,21° 53' 24'' S,50° 30' 21'' W,550 m,VFR Diurno,6/24,1500 m,35 m,PCN 17/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,,,,,AP-0,4ª,-
SDUB,AERÓDROMO,GASTÃO MADEIRA,UBATUBA,SP,23° 26' 29'' S,45° 4' 34'' W,4 m,VFR Diurno,9/27,940 m,30 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1967-0058,0,0,0,PD1967-0058,,,,AP-0,4ª,-
SDUN,AERÓDROMO,ITAPERUNA,ITAPERUNA,RJ,21° 13' 10'' S,41° 52' 32'' W,125 m,VFR Diurno,6/24,1200 m,30 m,PCN 8/F/C/Y/U,Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1998-0052,0,0,0,PD1998-0052,,,,AP-0,4ª,-
SDUQ,AERÓDROMO,PARAGUAÇU PAULISTA,PARAGUAÇU PAULISTA,SP,22° 25' 37'' S,50° 36' 25'' W,476 m,VFR Diurno,5/23,1199 m,30 m,"5600 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0330,0,0,0,PA2011-0330,,,,AD,-,-
SDVE,AERÓDROMO,VERA CRUZ,VERA CRUZ,SP,22° 13' 49'' S,49° 49' 7'' W,640 m,VFR Diurno,14/32,770 m,20 m,"5600 kg / 0,5 MPa",Grama,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2004-0399,0,0,0,PD2004-0399,,,,AD,-,-
SDVG,AERÓDROMO,DOMINGOS PIGNATARI,VOTUPORANGA,SP,20° 27' 26'' S,50° 0' 9'' W,508 m,VFR Diurno,5/23,1500 m,30 m,PCN 26/F/B/X/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1971-0052,PA2013-0503,0,0,PD1971-0052,PA2013-0503,,,AP-0,4ª,-
SDVL,AERÓDROMO,CORONEL NEWTON BRAGA,VALENÇA,RJ,22° 14' 34'' S,43° 42' 49'' W,580 m,VFR Diurno,18/36,720 m,25 m,"2500 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2007-0174,0,0,0,PA2007-0174,,,,AD,-,-
SDWQ,AERÓDROMO,ALENQUER,ALENQUER,PA,1° 55' 1'' S,54° 43' 22'' W,"30,87 m",VFR Diurno,10/28,1000 m,23 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2008-0769,0,0,0,PA2008-0769,,,,AD,-,-
SDXB,AERÓDROMO,CRISTALINA,CRISTALINA,GO,16° 47' 23'' S,47° 38' 36'' W,1200 m,VFR Diurno,5/23,1100 m,23 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0799,0,0,0,PD2001-0799,,,,AD,-,-
SDXF,AERÓDROMO,ALTO PARAÍSO DE GOIÁS,ALTO PARAÍSO DE GOIÁS,GO,14° 17' 57'' S,47° 30' 36'' W,1345 m,VFR Diurno,9/27,1200 m,30 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-0797,0,0,0,PD2001-0797,,,,AD,-,-
SDXJ,AERÓDROMO,COSTA RICA,COSTA RICA,MS,18° 29' 29'' S,53° 10' 6'' W,738 m,VFR Diurno,9/27,1160 m,23 m,PCN 10/F/B/Y/T,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2015-2207,0,0,0,PA2015-2207,,,,AD,-,-
SDYW,AERÓDROMO,ITAPEVA,ITAPEVA,SP,23° 56' 30'' S,48° 52' 58'' W,707 m,VFR Diurno,13/31,1000 m,40 m,"5700 kg / 0,5 MPa",Terra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD1990-0161,0,0,0,PD1990-0161,,,,AD,-,-
SDZG,AERÓDROMO,PEDRO TEIXEIRA CASTELO REGIONAL TAUÁ,TAUÁ,CE,5° 56' 0'' S,40° 17' 51'' W,"450,98 m",VFR Diurno/Noturno,9/27,1200 m,30 m,PCN 7/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PA2011-0989,0,0,0,PA2011-0989,,,,AD,-,-
SIAB,AERÓDROMO,LÊDA MELLO DE REZENDE,TRÊS PONTAS,MG,21° 22' 19'' S,45° 29' 39'' W,929 m,VFR Diurno,12/30,1040 m,18 m,"5700 kg / 0,5 MPa",Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2002-0664,0,0,0,PD2002-0664,,,,AD,-,-
SIBU,AERÓDROMO,CATOLÉ DO ROCHA,CATOLÉ DO ROCHA,PB,6° 21' 16'' S,37° 45' 18'' W,272 m,VFR Diurno,11/29,1000 m,20 m,PCN 10/F/B/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1492,0,0,0,PD2001-1492,,,,AD,-,-
SIBW,AERÓDROMO,CONCEIÇÃO,CONCEIÇÃO,PB,7° 33' 45'' S,38° 29' 51'' W,370 m,VFR Diurno,8/26,1000 m,27 m,PCN 8/F/C/Y/U,Asfalto,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PD2001-1493,0,0,0,PD2001-1493,,,,AD,-,-
